place_name,username,rating,review,lokasi
Layung Coffee Roastery,Fathya Chairunnisa,5 bintang,Ada area indoor dan outdoor dan aku sedang di area indoor nyaa. Hanya tersedia bbrp meja tapi nyaman dan adem bgt AC-nya. …,Bandung Timur
Layung Coffee Roastery,Isa Nararya,5 bintang,"Pertama kali nyoba cafe di bandung, dekat rumah. suasanannya nyaman sekali, dan gak cuma kopi ada makanan2 beratnya. Dan staff kasirnyaa ramah pol, kalau kita bingung beliau akan merekomendasiin buat kita. …",Bandung Timur
Layung Coffee Roastery,Rainda Deva,5 bintang,"Tempatnya cozy, pelayanannya ramah banget.
Makanannya juga enak dan harganya pas",Bandung Timur
Layung Coffee Roastery,dessy nuzulensi,5 bintang,"Enak banget untuk santai, menikmati sore sambil ngemil. Kue-kuenya enak semua. Minumannya juga real chocolate bubuk, jadi ada sensasi pahitnya. Ga bikin eneg, ga terlalu manis juga. Nasinya jgn sampe kelewatan, harus dicobain. Bumbu lauknya …",Bandung Timur
Layung Coffee Roastery,Cherli L.Agustina,5 bintang,"Di Layung, ada area indoor juga outdoor, lumayan enak buat wfc atau hanya singgah, boleh gakk untuk toilet tambah lagi pengharum nya🙏🏻, karena kemarin bau roko bangeet, entah pas kebetulan aja yaa, tapi buat makanan, minuman, pastry (bolu pisang) yang dipesan, okee banget👌🏻 …",Bandung Timur
Layung Coffee Roastery,Rahmi Sadiyah,5 bintang,"Tempat ngopi yg lengkap bgt dari minuman, makanan berat, cemilan sampe dessert. So far terenak di Bandung Timur sih👍🏻 …",Bandung Timur
Layung Coffee Roastery,geby putri,5 bintang,"enak enak banget makanannyaa, tempat nya bersih, pelayanan nya baguss bangettt barista nya cantik cantik, cake nya juga enakk poll, worth it parahh buat daerah uber bingung ngopi kesini aja sih",Bandung Timur
Layung Coffee Roastery,desiK,5 bintang,"Matchanya enak, cold whitenya kemanisan tp oke kalau pake es, chocolate cakenya lumayan enak chicken wingsnya enak dan cheesecakenya enak banget!! ✨✨",Bandung Timur
Layung Coffee Roastery,wilman nailufar,5 bintang,"Tempat nyaman. Pelayanan okey, makanan juga enakk ada pizza nya",Bandung Timur
Layung Coffee Roastery,annissa meillann,5 bintang,"Pelayanan nya bagus, staff nya baik dan ramah semua. Menu makanan dan minuman nya enak semuaaa, ada pastry dan bakery nyaa juga roti roti nya enak semua favorit aku yang cranberry cheese bread!🤍 tempatnya comfy banget cocok buat yang suka WFH. …",Bandung Timur
Layung Coffee Roastery,Ji Brown,5 bintang,"Tempat nyaman, rasa enak + banget dan harga pass. Pkoknyaa mantapp fully",Bandung Timur
Layung Coffee Roastery,Intan Mustika,5 bintang,"Cukup oke buat nugas, cuma agak berisik aja di beberapa waktu. Jadi gak rekomen untuk yang nyari tempat sepi. Mungkin kalau weekday akan lebih hening. …",Bandung Timur
Layung Coffee Roastery,Rahmi Lutfiah,5 bintang,Tempat nongki proper di Bandung Timur. Sering banget kesini suka sama kopi susu dan cheesecakenya☝,Bandung Timur
Layung Coffee Roastery,Benaya Raifa,5 bintang,"2nd time went to Layung🍃
selalu pgn balik lagi kesini karena selain ambiancenya nyaman buat WFC, makanannya enak enakk daaan AFFORDABLE!!🥲🫶🏻 …",Bandung Timur
Layung Coffee Roastery,nanakitchen_dessert,5 bintang,"Tempat langganan yang nyaman buat WFC dari pagi, jarang2 tempat ngopi yang menu makanan dan minumannya lengkap, enak2, dan affordable. Recommended bgt buat nongkrong disini sambil kerja, bikin mood kerja naik",Bandung Timur
Layung Coffee Roastery,Faisal Muh Sidik,4 bintang,"Pegawainya ramah-ramah, tempatnya cozi, harga makanan dan minumannya affordable, tapi menu Iga Bakar nya agak sedikit alot / teksturnya keras, over all oke lah rating 8/10👍 …",Bandung Timur
Layung Coffee Roastery,Uwes Fatoni,5 bintang,"Tempat nyaman, makanan minuman rekomendid, pelayanan ramah",Bandung Timur
