place_name,lokasi,n_reviews,avg_rating,positive_pct,negative_pct,wifi,stopkontak,kenyamanan,suasana_tenang,harga_terjangkau,makanan_enak,pelayanan_baik,tempat_luas,ber_AC,buka_lama
150 Coffee and Garden,Bandung Timur,98,3.97,0.786,0.184,0.0,0.75,0.95,0.9,0.9,0.85,0.65,1.0,0.6,0.0
Aditi Coffee House and Space,Bandung Tengah,80,4.32,0.95,0.05,0.9,0.3,1.0,0.9,0.6,0.95,0.9,0.65,0.75,0.25
Afecto Coffee,Bandung Utara,56,4.59,0.839,0.107,1.0,0.7,0.95,0.7,1.0,1.0,0.95,0.9,0.4,0.05
Alissha Coffee & Friends,Bandung Selatan,77,4.74,0.922,0.0,0.25,0.35,1.0,1.0,0.9,1.0,0.9,0.95,1.0,0.25
Amfiteater Coffee & Eatery,Bandung Barat,18,4.78,1.0,0.0,0.6,0.25,0.9,0.1,0.65,1.0,1.0,0.75,0.35,0.25
Amity Coffee & Space,Bandung Tengah,100,4.16,0.81,0.15,0.4,0.3,0.9,0.85,0.8,0.95,0.75,0.85,0.7,0.1
Arcana - Arcade Cafe,Bandung Utara,18,4.22,0.833,0.167,0.0,0.0,1.0,0.6,0.5,0.9,0.9,0.7,0.65,0.0
Arcilla Coffee,Bandung Selatan,75,4.77,0.947,0.027,0.0,0.5,1.0,0.7,1.0,1.0,1.0,0.5,0.5,0.25
Armor Kopi dago,Bandung Utara,68,4.24,0.882,0.074,0.0,0.0,1.0,0.8,0.75,0.95,0.95,1.0,0.5,0.45
Atanapi Coffee Camp,Bandung Barat,87,4.32,0.885,0.069,0.0,0.1,0.95,0.85,1.0,0.95,0.8,0.95,0.5,0.65
BERG Puntang,Bandung Selatan,60,4.52,0.867,0.033,0.0,0.0,0.95,0.9,0.65,0.9,0.75,0.95,0.5,0.0
Basix Coffee,Bandung Tengah,48,4.6,0.896,0.062,0.6,0.0,1.0,0.6,0.65,1.0,0.7,0.25,0.9,0.25
Batoe Coffee and Space,Bandung Selatan,65,4.57,0.831,0.092,0.7,0.6,1.0,0.8,1.0,1.0,1.0,0.45,0.2,0.0
Ben and Lou Coffee,Bandung Tengah,114,4.39,0.868,0.079,0.2,0.1,0.95,0.35,0.65,0.9,0.95,0.95,0.8,0.0
Benjoy Coffee & Eatery,Bandung Tengah,85,4.8,0.965,0.0,1.0,0.8,1.0,0.4,1.0,1.0,0.65,0.15,0.95,0.1
Blue Doors,Bandung Tengah,70,4.73,0.943,0.0,0.35,0.0,1.0,0.6,0.4,0.95,1.0,0.8,0.5,0.0
Bober Cafe,Bandung Selatan,69,4.2,0.841,0.087,0.35,0.0,0.95,0.3,0.7,0.9,0.95,0.9,0.65,0.5
Braga Art Cafe,Bandung Tengah,70,4.37,0.914,0.086,0.0,0.0,0.95,0.55,0.85,0.9,0.8,0.7,0.5,0.45
Breeze Resto and Cafe,Bandung Selatan,52,4.29,0.827,0.096,0.0,0.0,0.95,0.7,0.35,0.85,0.7,0.75,0.5,0.1
Brunswick Cafe,Bandung Barat,19,4.63,1.0,0.0,0.0,0.6,1.0,0.5,0.6,1.0,0.6,0.85,0.75,0.0
CUPOLA ID BRAGA,Bandung Tengah,68,4.53,0.926,0.044,0.0,0.1,0.95,0.85,0.7,0.8,1.0,0.95,0.5,0.0
Cafe And Resto Lisung,Bandung Selatan,13,4.92,0.923,0.0,0.0,0.0,0.7,0.5,0.7,0.9,0.0,0.6,0.1,0.0
Cafe Bali,Bandung Timur,75,4.71,0.947,0.027,0.2,0.2,0.95,0.7,0.8,0.95,0.95,0.95,0.65,0.0
Cafe D'Pakar,Bandung Timur,90,4.46,0.9,0.078,0.0,0.0,0.9,0.95,0.8,0.85,0.95,1.0,0.75,0.25
Cafe Halaman,Bandung Barat,54,4.11,0.87,0.111,0.1,0.25,1.0,0.25,0.75,0.95,0.95,0.9,0.5,0.1
Cafe Tho'aam,Bandung Barat,17,4.82,0.882,0.0,0.0,0.0,0.9,0.25,0.5,1.0,0.25,0.6,0.1,0.0
Cafe resto 234,Bandung Barat,10,4.9,1.0,0.0,0.0,0.0,1.0,0.6,0.8,1.0,0.8,0.0,0.0,0.0
Caffe Bene Kota Baru Parahyangan,Bandung Barat,99,4.37,0.899,0.071,0.7,0.0,0.95,0.65,0.6,0.95,0.95,0.75,0.8,0.25
Cascara Coffee Tebing Keraton,Bandung Utara,60,4.38,0.933,0.067,0.7,0.7,1.0,1.0,0.7,0.9,0.95,1.0,0.5,0.25
Coffee Gunung (Kopgun),Bandung Selatan,38,3.95,0.684,0.289,0.0,0.0,0.95,0.45,1.0,0.8,0.75,0.3,0.1,0.25
Communal Coffee Indonesia,Bandung Utara,44,4.95,0.977,0.0,0.1,0.0,1.0,0.8,0.9,0.9,0.8,0.45,0.2,0.0
Congo Gallery & Cafe,Bandung Utara,50,4.6,0.92,0.04,0.0,0.0,1.0,1.0,0.75,1.0,0.5,1.0,0.5,0.0
Cupba Coffee,Bandung Barat,13,4.46,0.923,0.077,0.0,0.0,1.0,0.6,0.25,1.0,0.7,0.25,0.0,0.0
DIRASA EATERY,Bandung Tengah,59,4.47,0.898,0.051,0.2,0.45,0.7,0.55,0.9,0.85,0.8,0.5,0.4,0.3
Dago Bakery punclut,Bandung Barat,50,4.44,0.92,0.04,0.0,0.0,0.9,0.7,0.65,0.85,0.9,1.0,0.5,0.0
Dakar (Dago Pakar),Bandung Utara,50,4.48,0.9,0.08,0.0,0.2,1.0,0.75,1.0,1.0,0.9,1.0,0.5,0.4
De Grote Cafe,Bandung Timur,59,4.68,0.966,0.017,0.0,0.25,0.95,0.85,0.95,0.9,0.95,0.9,0.5,0.25
De'Medellin Cafe,Bandung Timur,74,4.77,0.932,0.041,0.6,0.6,1.0,0.25,0.9,1.0,1.0,1.0,1.0,0.0
De.u Coffee Dago,Bandung Utara,32,4.75,0.969,0.0,0.0,0.25,1.0,0.25,0.6,1.0,0.95,1.0,0.75,0.25
Delapan Padi,Bandung Timur,1,4.0,1.0,0.0,0.0,0.0,0.6,0.25,0.0,0.1,0.6,0.7,0.25,0.0
DewaDewi Caffe,Bandung Barat,9,4.78,0.889,0.0,0.0,0.0,1.0,0.25,0.6,1.0,0.6,0.35,0.25,0.0
Dewaji Coffee Lab,Bandung Timur,50,4.78,0.94,0.0,0.75,0.15,0.95,0.6,1.0,0.95,1.0,0.75,0.6,0.0
Diatas Kota Coffee Bandung,Bandung Barat,59,4.76,0.932,0.051,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.6,0.5,0.25
District Dago Cafe & Resto,Bandung Barat,31,4.48,0.968,0.032,0.1,0.0,0.95,0.4,0.65,0.9,0.6,0.95,0.55,0.0
Double Three Cafe,Bandung Barat,70,4.36,0.9,0.1,0.1,0.0,0.95,0.3,0.85,0.9,0.7,0.75,0.5,0.0
Eureka Coffee & Kitchen,Bandung Tengah,89,4.73,0.933,0.045,0.0,0.35,1.0,0.45,0.9,0.85,1.0,1.0,0.75,0.0
Gandong Coffee,Bandung Timur,90,4.82,0.989,0.0,0.8,0.7,1.0,0.95,0.95,1.0,1.0,0.8,0.6,0.25
Garden Coffee Bandung,Bandung Utara,46,4.76,0.978,0.0,0.5,0.1,0.95,0.85,1.0,0.95,1.0,0.8,0.5,0.45
Garis Pandang Coffee,Bandung Timur,80,4.82,0.962,0.038,0.1,0.0,1.0,0.7,1.0,0.95,0.85,0.65,0.75,0.0
Gaya Brasserie,Bandung Selatan,67,4.78,0.955,0.03,0.45,0.0,1.0,0.5,0.95,0.9,0.85,1.0,0.65,0.0
