place_name,username,rating,review,lokasi,rating_num,review_clean
Layung Coffee Roastery,Fathya Chairunnisa,5 bintang,Ada area indoor dan outdoor dan aku sedang di area indoor nyaa. Hanya tersedia bbrp meja tapi nyaman dan adem bgt AC-nya. …,Bandung Timur,5.0,area indoor outdoor sedang area indoor nyaa tersedia bbrp meja nyaman adem ac nya
Layung Coffee Roastery,Isa Nararya,5 bintang,"Pertama kali nyoba cafe di bandung, dekat rumah. suasanannya nyaman sekali, dan gak cuma kopi ada makanan2 beratnya. Dan staff kasirnyaa ramah pol, kalau kita bingung beliau akan merekomendasiin buat kita. …",Bandung Timur,5.0,pertama nyoba bandung dekat rumah suasanannya nyaman cuma makanan beratnya staff kasirnyaa ramah pol bingung beliau merekomendasiin
Layung Coffee Roastery,Rainda Deva,5 bintang,"Tempatnya cozy, pelayanannya ramah banget.
Makanannya juga enak dan harganya pas",Bandung Timur,5.0,cozy pelayanannya ramah makanannya enak harganya pas
Layung Coffee Roastery,dessy nuzulensi,5 bintang,"Enak banget untuk santai, menikmati sore sambil ngemil. Kue-kuenya enak semua. Minumannya juga real chocolate bubuk, jadi ada sensasi pahitnya. Ga bikin eneg, ga terlalu manis juga. Nasinya jgn sampe kelewatan, harus dicobain. Bumbu lauknya …",Bandung Timur,5.0,enak santai menikmati sore ngemil kue kuenya enak semua minumannya real chocolate bubuk jadi sensasi pahitnya bikin eneg terlalu manis nasinya jgn sampe kelewatan dicobain bumbu lauknya
Layung Coffee Roastery,Cherli L.Agustina,5 bintang,"Di Layung, ada area indoor juga outdoor, lumayan enak buat wfc atau hanya singgah, boleh gakk untuk toilet tambah lagi pengharum nya🙏🏻, karena kemarin bau roko bangeet, entah pas kebetulan aja yaa, tapi buat makanan, minuman, pastry (bolu pisang) yang dipesan, okee banget👌🏻 …",Bandung Timur,5.0,layung area indoor outdoor lumayan enak wfc singgah gakk toilet tambah pengharum nya kemarin bau roko bangeet entah pas kebetulan yaa makanan minuman pastry bolu pisang dipesan okee
Layung Coffee Roastery,Rahmi Sadiyah,5 bintang,"Tempat ngopi yg lengkap bgt dari minuman, makanan berat, cemilan sampe dessert. So far terenak di Bandung Timur sih👍🏻 …",Bandung Timur,5.0,ngopi lengkap minuman makanan berat cemilan sampe dessert so far terenak bandung timur
Layung Coffee Roastery,geby putri,5 bintang,"enak enak banget makanannyaa, tempat nya bersih, pelayanan nya baguss bangettt barista nya cantik cantik, cake nya juga enakk poll, worth it parahh buat daerah uber bingung ngopi kesini aja sih",Bandung Timur,5.0,enak enak makanannyaa nya bersih pelayanan nya baguss bangettt barista nya cantik cantik cake nya enak poll worth it parahh daerah uber bingung ngopi kesini
Layung Coffee Roastery,desiK,5 bintang,"Matchanya enak, cold whitenya kemanisan tp oke kalau pake es, chocolate cakenya lumayan enak chicken wingsnya enak dan cheesecakenya enak banget!! ✨✨",Bandung Timur,5.0,matchanya enak cold whitenya kemanisan oke pake es chocolate cakenya lumayan enak chicken wingsnya enak cheesecakenya enak
Layung Coffee Roastery,wilman nailufar,5 bintang,"Tempat nyaman. Pelayanan okey, makanan juga enakk ada pizza nya",Bandung Timur,5.0,nyaman pelayanan okey makanan enak pizza nya
Layung Coffee Roastery,annissa meillann,5 bintang,"Pelayanan nya bagus, staff nya baik dan ramah semua. Menu makanan dan minuman nya enak semuaaa, ada pastry dan bakery nyaa juga roti roti nya enak semua favorit aku yang cranberry cheese bread!🤍 tempatnya comfy banget cocok buat yang suka WFH. …",Bandung Timur,5.0,pelayanan nya bagus staff nya baik ramah semua makanan minuman nya enak semuaaa pastry bakery nyaa roti roti nya enak semua favorit cranberry cheese bread comfy cocok suka wfh
Layung Coffee Roastery,Ji Brown,5 bintang,"Tempat nyaman, rasa enak + banget dan harga pass. Pkoknyaa mantapp fully",Bandung Timur,5.0,nyaman rasa enak pass pkoknyaa mantapp fully
Layung Coffee Roastery,Intan Mustika,5 bintang,"Cukup oke buat nugas, cuma agak berisik aja di beberapa waktu. Jadi gak rekomen untuk yang nyari tempat sepi. Mungkin kalau weekday akan lebih hening. …",Bandung Timur,5.0,cukup oke nugas cuma berisik beberapa waktu jadi rekomen nyari sepi mungkin weekday lebih hening
Layung Coffee Roastery,Rahmi Lutfiah,5 bintang,Tempat nongki proper di Bandung Timur. Sering banget kesini suka sama kopi susu dan cheesecakenya☝,Bandung Timur,5.0,nongki proper bandung timur sering kesini suka sama susu cheesecakenya
Layung Coffee Roastery,Benaya Raifa,5 bintang,"2nd time went to Layung🍃
selalu pgn balik lagi kesini karena selain ambiancenya nyaman buat WFC, makanannya enak enakk daaan AFFORDABLE!!🥲🫶🏻 …",Bandung Timur,5.0,nd time went to layung selalu pgn balik kesini ambiancenya nyaman wfc makanannya enak enak daaan affordable
Layung Coffee Roastery,nanakitchen_dessert,5 bintang,"Tempat langganan yang nyaman buat WFC dari pagi, jarang2 tempat ngopi yang menu makanan dan minumannya lengkap, enak2, dan affordable. Recommended bgt buat nongkrong disini sambil kerja, bikin mood kerja naik",Bandung Timur,5.0,langganan nyaman wfc pagi jarang ngopi makanan minumannya lengkap enak affordable recommended nongkrong disini kerja bikin mood kerja naik
Layung Coffee Roastery,Faisal Muh Sidik,4 bintang,"Pegawainya ramah-ramah, tempatnya cozi, harga makanan dan minumannya affordable, tapi menu Iga Bakar nya agak sedikit alot / teksturnya keras, over all oke lah rating 8/10👍 …",Bandung Timur,4.0,pegawainya ramah ramah cozi makanan minumannya affordable iga bakar nya sedikit alot teksturnya keras over all oke lah
Layung Coffee Roastery,Uwes Fatoni,5 bintang,"Tempat nyaman, makanan minuman rekomendid, pelayanan ramah",Bandung Timur,5.0,nyaman makanan minuman rekomendid pelayanan ramah
Layung Coffee Roastery,candra budianto,5 bintang,Varian kopi dan makanannya enak semua. Pelayanannya oke dan ramah dan tempatnya lumayan bersih.,Bandung Timur,5.0,varian makanannya enak semua pelayanannya oke ramah lumayan bersih
Layung Coffee Roastery,Novita sari,5 bintang,"Rekomendasi nongki bareng teman ataupun keluarga, tempatnya juga nyaman banget, makan dan minumnya juga enak2 weh😍 …",Bandung Timur,5.0,rekomendasi nongki bareng teman ataupun keluarga nyaman makan minumnya enak weh
Layung Coffee Roastery,Mohammad Luthfi,5 bintang,"Makanan ok. Rasa enak, menu bervariasi, harga bersahabat. Pelayanan ramah, kecepatan pelayanan standar. Ruang makan cukup nyaman dan bersih. Tersedia banyak colokan listrik. Cocok untuk nugas bagi mahasiswa ataupun WFC. Parkiran motor dan …",Bandung Timur,5.0,makanan rasa enak bervariasi bersahabat pelayanan ramah kecepatan pelayanan standar ruang makan cukup nyaman bersih tersedia banyak stopkontak listrik cocok nugas mahasiswa ataupun wfc parkiran motor
Layung Coffee Roastery,ratna serin,5 bintang,"Mampir kesini di jam makan siang, suasana ramai.
Hot mochacinonya enak tapi masih kurang hot, untuk nasi ayam kecombrangnya enak pedasnya terasa.",Bandung Timur,5.0,mampir kesini jam makan siang suasana ramai hot mochacinonya enak kurang hot nasi ayam kecombrangnya enak pedasnya terasa
Layung Coffee Roastery,Mardika K Dewi,5 bintang,"Cocok buat chill, ngopi sambil kerja or meet-up sama keluarga dan temen2. Harga standar coffee shop, menu kopi dan non kopi nya enak, untuk food di lidah aku pas aja, tapi ada beberapa yang kurang seasoning. Service nya cepet dan ramah, pas ada kejadian minuman tumpah juga gercep di bersihin 🙏🏻 …",Bandung Timur,5.0,cocok chill ngopi kerja or meet up sama keluarga temen standar shop non nya enak food lidah pas beberapa kurang seasoning service nya cepet ramah pas kejadian minuman tumpah gercep bersihin
Layung Coffee Roastery,Eva Ramadhina,4 bintang,"Salah satu coffeeshop di area bandung timur yang cukup ramai dan layak untuk dikunjungi. Selain menu - menu kopi juga disediakan menu nonkopi, aneka cake juga makan berat. Untuk cake sendiri di kisaran 25-50an dan menurut saya dari segi …",Bandung Timur,4.0,salah satu coffeeshop area bandung timur cukup ramai layak dikunjungi disediakan nonkopi aneka cake makan berat cake sendiri kisaran an segi
Layung Coffee Roastery,Dewi lutpiyah,5 bintang,"Kopinya enak, kalau aku lebih suka yg cold white. Creamy..
Cake nya juga enak2. Banyak varian cake nya 😍 …",Bandung Timur,5.0,kopinya enak lebih suka cold white creamy cake nya enak banyak varian cake nya
Layung Coffee Roastery,Mohammad Luthfi,5 bintang,"Bagi anda yang di wilayah bandung timur wajib coba makan disini. Bisa ngopi santai dengan berbagai menu kopi nya yang nikmat, juga bisa makan makan bersama teman dan keluarga. …",Bandung Timur,5.0,wilayah bandung timur wajib coba makan disini ngopi santai berbagai nya nikmat makan makan bersama teman keluarga
